scheme,representation,hour,P_DA_MW,R_up_MW,R_down_MW,checked,run_id
3B,r9_compact_v1,16,30.662204981859414,9.535365644746104e-14,9.535898294521738e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,17,32.36817830097734,9.533095246113524e-14,9.538640341143166e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,18,33.242771833793185,9.533646746485754e-14,9.540896092251025e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,19,31.604170383935944,9.536243569170157e-14,9.5393076842175e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,20,29.238075753290893,9.535135490618e-14,9.537000709633373e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,21,29.4916841533603,9.536870770226632e-14,9.537404684641144e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,22,25.840171001577136,9.53792866327318e-14,9.53371268988583e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,23,23.05224093353,9.539934267698616e-14,9.531317340976281e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3B,r9_compact_v1,24,23.289658713924155,9.547409115240419e-14,9.531659281692084e-14,true,r9-seeded-7454572f-af51-4851-ac39-72650ca3db93
3C,original,1,23.12008865612404,9.540203055203617e-14,9.531087218083284e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,2,22.635178104083316,9.541418157034232e-14,9.530599881436513e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,3,21.89607594735335,9.542795737543683e-14,9.529780183968086e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,4,20.13059169425097,9.551276255964718e-14,9.528263983015809e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,5,21.319540204926177,9.523552123083192e-14,9.528630480319298e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,6,21.899648067767536,9.516969485397818e-14,9.5283978970975e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,7,23.360798037688564,9.546819085142888e-14,9.53817803968563e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,8,27.524901158367136,9.538690538901674e-14,9.532989388538954e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,9,30.831515370098767,9.535212114838212e-14,9.537085454479984e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,10,32.44497642738281,9.535749322550244e-14,9.539780031859408e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,11,33.208736480086074,9.539289509915364e-14,9.541095823859145e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,12,31.509174274972562,9.534759515380375e-14,9.538557279430445e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,13,32.60709394142914,9.534037137212483e-14,9.539415923372659e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,14,31.60268725523029,9.535244993119305e-14,9.536049093794852e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,15,32.39242464871703,9.535722458957754e-14,9.5384530891026e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,16,30.662204981859414,9.535365644746104e-14,9.535898294521738e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,17,32.36817830097734,9.533095246113524e-14,9.538640341143166e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,18,33.242771833793185,9.533646746485754e-14,9.540896092251025e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,19,31.604170383935944,9.536243569170157e-14,9.5393076842175e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,20,29.238075753290893,9.535135490618e-14,9.537000709633373e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,21,29.4916841533603,9.536870770226632e-14,9.537404684641144e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,22,25.840171001577136,9.53792866327318e-14,9.53371268988583e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,23,23.05224093353,9.539934267698616e-14,9.531317340976281e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,original,24,23.289658713924155,9.547409115240419e-14,9.531659281692084e-14,true,r9-seeded-32bcaddf-9727-41d9-99f2-de60e46bd6a3
3C,r9_compact_v1,1,23.12008865612404,9.540203055203617e-14,9.531087218083284e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,2,22.635178104083316,9.541418157034232e-14,9.530599881436513e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,3,21.89607594735335,9.542795737543683e-14,9.529780183968086e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,4,20.13059169425097,9.551276255964718e-14,9.528263983015809e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,5,21.319540204926177,9.523552123083192e-14,9.528630480319298e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,6,21.899648067767536,9.516969485397818e-14,9.5283978970975e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,7,23.360798037688564,9.546819085142888e-14,9.53817803968563e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,8,27.524901158367136,9.538690538901674e-14,9.532989388538954e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,9,30.831515370098767,9.535212114838212e-14,9.537085454479984e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,10,32.44497642738281,9.535749322550244e-14,9.539780031859408e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,11,33.208736480086074,9.539289509915364e-14,9.541095823859145e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,12,31.509174274972562,9.534759515380375e-14,9.538557279430445e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,13,32.60709394142914,9.534037137212483e-14,9.539415923372659e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,14,31.60268725523029,9.535244993119305e-14,9.536049093794852e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,15,32.39242464871703,9.535722458957754e-14,9.5384530891026e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,16,30.662204981859414,9.535365644746104e-14,9.535898294521738e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,17,32.36817830097734,9.533095246113524e-14,9.538640341143166e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,18,33.242771833793185,9.533646746485754e-14,9.540896092251025e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,19,31.604170383935944,9.536243569170157e-14,9.5393076842175e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,20,29.238075753290893,9.535135490618e-14,9.537000709633373e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,21,29.4916841533603,9.536870770226632e-14,9.537404684641144e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,22,25.840171001577136,9.53792866327318e-14,9.53371268988583e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,23,23.05224093353,9.539934267698616e-14,9.531317340976281e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
3C,r9_compact_v1,24,23.289658713924155,9.547409115240419e-14,9.531659281692084e-14,true,r9-seeded-d6a9efcd-6b53-4cc6-a781-e3375aa5d286
