record,kind,group,solver,run_id,status,adopted_pass,objective_kind,objective,lower_bound,conditional_optimality,elapsed_sec
hand_fault0_highs,recovery,hand,HiGHS,r7-recovery-8c316077-eb5a-488a-8765-9b1e0b3ff590,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,5.1020002365112305
hand_fault0_clarabel,recovery,hand,Clarabel,r7-recovery-995c4867-206d-48af-8ffb-575322854ec8,solver_optimal,true,expected_unserved_MWh,-5.7487019505010273e-11,,false,7.128000020980835
hand_fault0_gurobi,recovery,hand,Gurobi,r7-recovery-c04d90a9-d6d7-4fc6-8de5-3c68011f5e57,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,4.930999994277954
hand_fault1_highs,recovery,hand,HiGHS,r7-recovery-8ab820fe-6be1-434c-a334-f865ff1d0c99,solver_optimal,true,expected_unserved_MWh,0.8,0.8,true,0.007999897003173828
hand_fault1_clarabel,recovery,hand,Clarabel,r7-recovery-cd18f621-9f34-4b12-b041-41c574ca01e8,solver_optimal,true,expected_unserved_MWh,0.7999999998522557,,false,0.00800013542175293
hand_fault1_gurobi,recovery,hand,Gurobi,r7-recovery-9b0398c3-a8dc-457f-a106-04c6e8590f0c,solver_optimal,true,expected_unserved_MWh,0.8,0.8,true,0.016000032424926758
reserve_event_1_fault0_highs,recovery,reserve_event_1,HiGHS,r7-recovery-ac77adba-631c-4f29-b792-314508ca7fd1,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,0.020999908447265625
reserve_event_1_fault0_clarabel,recovery,reserve_event_1,Clarabel,r7-recovery-a2b9496d-3399-474b-9150-52026a119849,solver_optimal,true,expected_unserved_MWh,3.259523080784913e-12,,false,0.009999990463256836
reserve_event_1_fault0_gurobi,recovery,reserve_event_1,Gurobi,r7-recovery-d090652b-1848-4fd7-ab98-c40cb55ed770,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,0.10299992561340332
reserve_event_1_fault1_highs,recovery,reserve_event_1,HiGHS,r7-recovery-56b781eb-1ac1-49c8-8caa-fdd9aaa306e3,solver_optimal,true,expected_unserved_MWh,0.4,0.4,true,0.008999824523925781
reserve_event_1_fault1_clarabel,recovery,reserve_event_1,Clarabel,r7-recovery-71b78d93-7183-4d6c-8d9f-c1b5927c242d,solver_optimal,true,expected_unserved_MWh,0.3999999998854523,,false,0.00800013542175293
reserve_event_1_fault1_gurobi,recovery,reserve_event_1,Gurobi,r7-recovery-43897d97-122f-4061-87f5-c60ce6159b74,solver_optimal,true,expected_unserved_MWh,0.4,0.4,true,0.006999969482421875
reserve_event_2_fault0_highs,recovery,reserve_event_2,HiGHS,r7-recovery-24897e64-bd8a-47a2-a09a-4903f009cd9f,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,0.023000001907348633
reserve_event_2_fault0_clarabel,recovery,reserve_event_2,Clarabel,r7-recovery-8e3737ec-b677-44a5-8baa-55d23aba27ac,solver_optimal,true,expected_unserved_MWh,5.673948366031925e-12,,false,0.00800013542175293
reserve_event_2_fault0_gurobi,recovery,reserve_event_2,Gurobi,r7-recovery-e92fea35-6f39-48ef-b45d-8275923a4f28,solver_optimal,true,expected_unserved_MWh,0.0,0.0,true,0.0070002079010009766
reserve_event_2_fault1_highs,recovery,reserve_event_2,HiGHS,r7-recovery-e7bad151-1d87-42d0-b1e8-0be5fa581029,solver_optimal,true,expected_unserved_MWh,0.4,0.4,true,0.00800013542175293
reserve_event_2_fault1_clarabel,recovery,reserve_event_2,Clarabel,r7-recovery-2481dfb2-e781-4ca9-95ec-6e359a8e0089,solver_optimal,true,expected_unserved_MWh,0.3999999999456769,,false,0.006999969482421875
reserve_event_2_fault1_gurobi,recovery,reserve_event_2,Gurobi,r7-recovery-1d9a1b75-6f8f-435e-ba38-297f4c54076d,solver_optimal,true,expected_unserved_MWh,0.4,0.4,true,0.007999897003173828
zero_loss_highs_extensive,planning,zero_loss,HiGHS,r7-planning-04b65a95-2bda-4aa3-8fc5-f7f62e15c683,infeasible_certified,false,normal_cost_USD,,0.0,false,9.836000204086304
zero_loss_highs_finite_fault_ccg,planning,zero_loss,HiGHS,r7-planning-eedfbde0-85e1-4833-be4f-8212cb311078,infeasible_certified,false,normal_cost_USD,,192.00000000000017,false,5.697999954223633
zero_loss_gurobi_extensive,planning,zero_loss,Gurobi,r7-planning-c5ddff20-a616-475e-aa12-baf392e237bb,infeasible_certified,false,normal_cost_USD,,,false,9.805000066757202
zero_loss_gurobi_finite_fault_ccg,planning,zero_loss,Gurobi,r7-planning-7f7c2304-030f-46a3-81dc-9eac58baaf94,infeasible_certified,false,normal_cost_USD,,192.00000000000006,false,6.2190001010894775
zero_loss_gurobi_nested_indicator_ccg,planning,zero_loss,Gurobi,r7-planning-be5a4508-3080-4b55-ba7d-ae0f9ce74471,infeasible_certified,false,normal_cost_USD,,192.00000000000006,false,7.434000015258789
allow_full_heat_highs_extensive,planning,allow_full_heat,HiGHS,r7-planning-70082f6f-1691-49a2-8fdb-8983ac70c2fc,robust_candidate,true,normal_cost_USD,193.27500000000003,193.2750000000001,true,0.3659999370574951
allow_full_heat_highs_finite_fault_ccg,planning,allow_full_heat,HiGHS,r7-planning-adec54f1-d948-40ff-9495-3434d858efe3,robust_candidate,true,normal_cost_USD,193.27500000000006,193.27500000000006,true,0.31399989128112793
allow_full_heat_gurobi_extensive,planning,allow_full_heat,Gurobi,r7-planning-53d91898-2073-427e-8515-6382f2579aa2,robust_candidate,true,normal_cost_USD,193.27500000000038,193.27500000000038,true,0.36299991607666016
allow_full_heat_gurobi_finite_fault_ccg,planning,allow_full_heat,Gurobi,r7-planning-91a8bdaa-204b-4582-b013-44ca32f98a7f,robust_candidate,true,normal_cost_USD,193.27500000000003,193.27500000000032,true,0.29600000381469727
allow_full_heat_gurobi_nested_indicator_ccg,planning,allow_full_heat,Gurobi,r7-planning-ed185d34-3c27-4673-92b8-3bb44f5a38ef,robust_candidate,true,normal_cost_USD,193.27500000000003,193.27500000000032,true,1.6389999389648438
