record,run_id,status,original_model_pass,corrected_model_pass,conditional_optimality,old_max_thermal_normalized,new_max_thermal_normalized,flow_residual_kg_s,battery_mutual_exclusivity,simultaneous_charge_discharge_MW,loss_MWh
hand_parent_fault0_highs_n16,r7-transport-98274470-2287-4592-891d-04eb295a0f96,solver_optimal,true,true,true,8.084397349092695e-9,8.084397349092695e-9,0.0,true,0.0,0.04444444444444445
hand_parent_fault0_gurobi_n16,r7-transport-22b8d32a-7ae0-4d24-8f36-f1c34e7f1e95,solver_optimal,true,true,true,2.049601259083526e-8,2.049601259083526e-8,0.0,true,0.0,0.044444444444444446
hand_parent_fault1_highs_n16,r7-transport-b340615b-af65-4b6e-b1ea-7b972c02f8e2,infeasible_certified,false,false,false,,,,,,
hand_parent_fault1_gurobi_n16,r7-transport-841004c0-3701-4d39-b79e-2ecb6d034527,infeasible_certified,false,false,false,,,,,,
hand_reference_fault0_highs_n16,r7-transport-114601b0-cdb0-4a0e-8cc1-f75451c3813e,solver_optimal,true,true,true,2.8168391471202387e-8,2.8168391471202387e-8,0.0,true,0.0,-4.3819115003175315e-18
hand_reference_fault0_gurobi_n16,r7-transport-3fd43866-254b-43b3-a515-0f344ce76065,solver_optimal,true,true,true,8.881784197001252e-10,8.084397349092695e-9,4.440892098500626e-16,true,0.0,0.0
hand_reference_fault1_highs_n16,r7-transport-f3c71a50-008f-4e53-8d39-b6ffc78efc00,infeasible_certified,false,false,false,,,,,,
hand_reference_fault1_gurobi_n16,r7-transport-deddbaf0-3186-4e1c-8db5-24e14c30554a,infeasible_certified,false,false,false,,,,,,
hand_zero_fault0_highs_n16,r7-transport-d149e0da-0aa0-4cb6-8ea9-e284df49e1f2,solver_optimal,true,true,true,8.881784197001252e-10,8.881784197001252e-10,0.0,true,0.0,0.8
hand_zero_fault1_highs_n16,r7-transport-f84036c1-f895-44c9-885d-e162dc6598b8,solver_optimal,true,true,true,8.881784197001252e-10,8.881784197001252e-10,0.0,true,0.0,0.8
hand_reference_fault0_clarabel_n16,r7-transport-9df04cd3-8ab2-406a-968b-07a812d3f2ac,solver_optimal,false,true,false,307016.75480684283,6.861178292183467e-8,1.4689599294548046e-18,false,0.0019552161664655,3.1383361759916704e-12
hand_parent_fault0_highs_n1,r7-transport-3eeb0ebe-765b-4452-8165-78065ebefc91,solver_optimal,true,true,true,8.326672684688674e-11,8.326672684688674e-11,0.0,true,0.0,0.04444444444444445
hand_parent_fault0_highs_n4,r7-transport-be61f69d-123e-4e5b-9c66-62f27f095203,solver_optimal,true,true,true,6.817704919133878e-10,6.817704919133878e-10,0.0,true,0.0,0.04444444444444445
hand_reference_fault0_highs_n1,r7-transport-047b0592-35ce-4791-b4fe-24b0937ee502,solver_optimal,true,true,true,1.0685896612017132e-9,1.0685896612017132e-9,0.0,true,0.0,0.0
hand_reference_fault0_highs_n4,r7-transport-e2ba5e0a-e900-426d-80ab-9edb60b89081,solver_optimal,true,true,true,4.274358644806853e-9,4.274358644806853e-9,0.0,true,0.0,-1.3464807972300252e-16
reserve_event_1_parent_fault0_highs_n16,r7-transport-0632cee2-7988-472b-aede-c3dba87d1a1e,solver_optimal,true,true,true,1.616879469818539e-8,1.616879469818539e-8,0.0,true,0.0,0.012549999999999728
reserve_event_1_parent_fault0_gurobi_n16,r7-transport-787da9d6-c8ae-41ef-b643-3b4e4d18d002,solver_optimal,true,true,true,2.917675108922898e-8,2.917675108922898e-8,0.0,true,0.0,0.012549999999999617
reserve_event_1_parent_fault1_highs_n16,r7-transport-a46ae7dd-9791-49eb-a5d2-2cd65a5d973f,infeasible_certified,false,false,false,,,,,,
reserve_event_1_parent_fault1_gurobi_n16,r7-transport-267c8c73-704a-48f5-9ba0-511f100b8c4c,infeasible_certified,false,false,false,,,,,,
reserve_event_1_reference_fault0_highs_n16,r7-transport-424472af-ddad-4909-a89d-faab66a5a382,solver_optimal,true,true,true,1.189533615312636e-7,1.189533615312636e-7,0.0,true,0.0,0.0
reserve_event_1_reference_fault0_gurobi_n16,r7-transport-a2fc4626-5d61-40f5-b0ce-674e992875eb,solver_optimal,true,true,true,7.793877188078113e-8,7.658059312613356e-8,3.552713678800501e-15,true,0.0,0.0
reserve_event_1_reference_fault1_highs_n16,r7-transport-b3c854ba-1ffa-4a18-bab3-e865cb5ca9aa,infeasible_certified,false,false,false,,,,,,
reserve_event_1_reference_fault1_gurobi_n16,r7-transport-69601c09-017b-43f1-a789-5d763f65d6d7,infeasible_certified,false,false,false,,,,,,
reserve_event_1_zero_fault0_highs_n16,r7-transport-f3daf9b1-5eec-4894-8f10-55c21e9777bf,solver_optimal,true,true,true,2.6645352591003757e-9,2.6645352591003757e-9,0.0,true,0.0,0.4
reserve_event_1_zero_fault1_highs_n16,r7-transport-c4881c7f-5537-42a0-961e-b51cb40717e5,solver_optimal,true,true,true,2.6645352591003757e-9,2.6645352591003757e-9,0.0,true,0.0,0.4
reserve_event_1_reference_fault0_clarabel_n16,r7-transport-49df121a-2985-4202-82a6-45ea86f48277,solver_optimal,false,true,false,204023.81526444343,3.558450293820199e-7,8.881784197001252e-16,false,0.18587345000894295,3.1318432670832082e-12
reserve_event_2_parent_fault0_highs_n16,r7-transport-3eccc7e4-db8d-465a-8b44-70a250f6eb68,solver_optimal,true,true,true,1.3466087504336125e-8,1.3466087504336125e-8,0.0,true,0.0,0.01049999999999962
reserve_event_2_parent_fault0_gurobi_n16,r7-transport-0b441de1-18b9-4458-992a-2d2cbde5f2b5,solver_optimal,true,true,true,1.1070956891974978e-8,1.1070956891974978e-8,0.0,true,0.0,0.01049999999999951
reserve_event_2_parent_fault1_highs_n16,r7-transport-cea805e1-39e2-4d88-ac5b-29acb924692b,infeasible_certified,false,false,false,,,,,,
reserve_event_2_parent_fault1_gurobi_n16,r7-transport-3d41d37e-4881-4c23-8f97-46b9b097f077,infeasible_certified,false,false,false,,,,,,
reserve_event_2_reference_fault0_highs_n16,r7-transport-cfc90968-17f2-4831-9eb6-6d17493bb244,solver_optimal,true,true,true,1.493805079633148e-7,1.493805079633148e-7,0.0,true,0.0,0.0
reserve_event_2_reference_fault0_gurobi_n16,r7-transport-eb66529f-b304-4e10-8787-990e1f73632a,solver_optimal,true,true,true,1.3839745112894283e-7,1.3703927237429528e-7,3.552713678800501e-15,true,0.0,0.0
reserve_event_2_reference_fault1_highs_n16,r7-transport-00edd313-dc76-4630-a633-b240d8072faf,infeasible_certified,false,false,false,,,,,,
reserve_event_2_reference_fault1_gurobi_n16,r7-transport-268b00f0-91e8-485d-a177-0705e830edc6,infeasible_certified,false,false,false,,,,,,
reserve_event_2_zero_fault0_highs_n16,r7-transport-13a82585-3cf5-4307-a6f8-f93cd96180ec,solver_optimal,true,true,true,2.6645352591003757e-9,2.6645352591003757e-9,0.0,true,0.0,0.4
reserve_event_2_zero_fault1_highs_n16,r7-transport-05e36061-8cbd-40a4-94e9-382e8093a595,solver_optimal,true,true,true,2.6645352591003757e-9,2.6645352591003757e-9,0.0,true,0.0,0.4
reserve_event_2_reference_fault0_clarabel_n16,r7-transport-9c797e54-efa7-482d-ba03-bc95c1b41324,solver_optimal,false,true,false,203348.25739063602,9.023745188111813e-8,8.881784197001252e-16,false,0.1854319191111965,3.3139231819192895e-14
