
Gurobi 13.0.3 (win64) logging started Mon Sep 21 03:24:21 2026

Set parameter LogFile to value "<workspace>tmp\r9-flow-probe-vf-vt-local-v1\solver-local.log"

Gurobi 13.0.3 (win64) logging started Mon Sep 21 03:24:22 2026

Set parameter LogFile to value "<workspace>tmp\r9-flow-probe-vf-vt-local-v1\solver-local.log"
Warning on update mode = 1 after new variables or constraints added:
Setting LP warm start basis or start ignored

Set parameter TimeLimit to value 9.2976828799990471e+01
Gurobi Optimizer version 13.0.3 build v13.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: 12th Gen Intel(R) Core(TM) i7-12700, instruction set [SSE2|AVX|AVX2]
Thread count: 12 physical cores, 20 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  9.2976828799990471e+01
FeasibilityTol  1e-09
OptimalityTol  1e-09
NLBarPFeasTol  1e-09
NLBarDFeasTol  1e-09
OptimalityTarget  1
LogToConsole  0
NonConvex  2
Threads  1

Optimize a model with 21183 rows, 32808 columns and 52239 nonzeros (Min)
Model fingerprint: 0x11b99193
Model has 120 linear objective coefficients
Model has 9864 quadratic constraints
Model has 1776 general nonlinear constraints (3552 nonlinear terms)
Variable types: 32808 continuous, 0 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e-05, 3e+01]
  QMatrix range    [5e-02, 2e+02]
  QLMatrix range   [2e-01, 1e+00]
  Objective range  [5e+01, 1e+03]
  Bounds range     [1e-03, 5e+03]
  RHS range        [5e-03, 4e+02]
  QRHS range       [1e+00, 6e+01]
  NLCon coe range  [8e-04, 3e+02]

Presolve removed 16493 rows and 15102 columns
Presolve time: 0.11s
Presolved: 4690 rows, 17706 columns, 15715 nonzeros
Presolved model has 10657 quadratic constraint(s)
Presolved model has 1776 nonlinear constraint(s)

Solving NLP to local optimality

Ordering time: 0.02s

NL barrier statistics:
  Hessian NZ  : 2.171e+04
  Jacobian NZ : 5.510e+04
  Factor NZ   : 4.925e+05
  Factor Ops  : 1.816e+07
  Threads     : 1

                           Residuals
Iter     Objective      Primal     Dual      Compl     Step     Time
   0   5.43423970e+05  2.69e+02  2.00e+03  2.35e+02  0.00e+00     0s
   1   5.43423971e+05  2.69e+02  1.90e+03  2.17e+02  6.27e-07     0s
   2   5.43598804e+05  2.42e+02  5.59e+03  2.02e+02  1.03e-01     0s
   3   5.43605705e+05  2.41e+02  1.72e+03  1.89e+02  5.37e-03     0s
   4   5.43620668e+05  2.36e+02  2.10e+03  1.82e+02  1.94e-02     0s
   5   5.43630922e+05  2.32e+02  2.62e+03  1.76e+02  1.45e-02     0s
   6   5.43635763e+05  2.30e+02  3.00e+03  1.72e+02  9.26e-03     0s
   7   5.43650350e+05  2.25e+02  2.95e+03  1.66e+02  2.44e-02     0s
   8   5.43675803e+05  2.17e+02  2.91e+03  1.59e+02  3.23e-02     0s
   9   5.43702357e+05  2.07e+02  2.81e+03  1.49e+02  4.83e-02     0s
  10   5.43707359e+05  2.04e+02  1.05e+04  1.39e+02  1.27e-02     0s
  11   5.43704324e+05  2.03e+02  1.71e+04  1.34e+02  7.81e-03     0s
  12   5.43690418e+05  2.00e+02  2.28e+04  1.29e+02  1.42e-02     0s
  13   5.43640398e+05  1.93e+02  1.85e+04  1.25e+02  3.38e-02     0s
  14   5.43613560e+05  1.91e+02  2.83e+04  1.21e+02  9.15e-03     0s
  15   5.43522341e+05  1.86e+02  2.73e+04  1.18e+02  2.58e-02     0s
  16   5.43499707e+05  1.85e+02  2.57e+04  1.17e+02  5.07e-03     0s
  17   5.43495728e+05  1.85e+02  2.49e+04  1.17e+02  1.04e-03     0s
  18   5.43469078e+05  1.84e+02  2.87e+04  1.16e+02  7.15e-03     0s
  19   5.43408243e+05  1.81e+02  2.21e+04  1.15e+02  1.65e-02     0s
  20   5.43350750e+05  1.78e+02  3.44e+04  1.11e+02  1.63e-02     0s
  21   5.43313904e+05  1.75e+02  5.31e+04  1.07e+02  1.68e-02     0s
  22   5.43304454e+05  1.72e+02  7.95e+04  1.03e+02  1.60e-02     0s
  23   5.43312753e+05  1.70e+02  7.31e+04  1.02e+02  1.13e-02     1s
  24   5.43315273e+05  1.70e+02  1.21e+05  9.85e+01  1.76e-03     1s
  25*  5.43315273e+05  1.70e+02  1.03e+06  4.84e+03  0.00e+00     1s
  26*  5.38983258e+05  1.23e+02  9.52e+05  3.67e+03  2.43e-01     1s
  27*  5.35064200e+05  7.62e+01  7.48e+05  2.37e+03  3.56e-01     1s
  28*  5.34468406e+05  4.05e+01  3.65e+05  1.23e+03  4.81e-01     1s
  29*  5.36158471e+05  2.70e+01  1.81e+05  8.12e+02  3.38e-01     1s
  30*  5.36253616e+05  2.65e+01  1.66e+05  7.98e+02  1.67e-02     1s
  31*  5.39418899e+05  1.26e+01  1.09e+05  3.78e+02  5.29e-01     1s
  32   5.39587206e+05  1.23e+01  2.60e+03  2.30e+02  2.26e-02     1s
  33   5.39587276e+05  1.23e+01  2.42e+03  2.14e+02  2.44e-05     1s
  34   5.40028053e+05  1.06e+01  2.32e+03  2.05e+02  1.42e-01     1s
  35   5.40407313e+05  9.27e+00  2.27e+03  2.01e+02  1.29e-01     1s
  36   5.40792800e+05  7.95e+00  2.05e+03  1.82e+02  1.47e-01     1s
  37   5.40811409e+05  7.88e+00  1.97e+03  1.75e+02  8.37e-03     1s
  38   5.41269847e+05  6.31e+00  1.80e+03  1.59e+02  2.09e-01     1s
  39   5.41340859e+05  6.02e+00  1.74e+03  1.54e+02  4.71e-02     1s
  40   5.41897092e+05  1.10e+01  1.83e+03  1.47e+02  4.06e-01     1s
  41   5.41914449e+05  1.02e+01  1.02e+03  9.02e+01  7.22e-02     1s
  42   5.41639608e+05  5.27e+00  3.26e+03  6.94e+01  4.74e-01     1s
  43   5.41221876e+05  3.39e+00  4.33e+03  6.38e+01  3.52e-01     1s
  44   5.40880657e+05  3.42e+00  4.27e+03  5.27e+01  4.22e-01     1s
  45   5.40730897e+05  3.16e+00  2.61e+03  2.74e+01  8.37e-01     1s
  46   5.40762057e+05  1.55e+00  1.36e+03  1.70e+01  6.10e-01     1s
  47   5.41166277e+05  5.39e+00  1.36e+03  1.29e+01  9.37e-01     1s
  48   5.41149745e+05  3.82e+00  5.44e+01  2.41e+00  2.89e-01     1s
  49   5.41434310e+05  1.11e-01  5.04e+01  9.89e-01  1.00e+00     1s
  50   5.41798136e+05  4.05e-02  2.45e+02  9.95e-01  6.15e-01     1s
  51   5.41874360e+05  2.78e-02  2.72e+02  1.01e+00  2.50e-01     1s
  52   5.41862339e+05  2.53e-02  8.23e+02  1.02e+00  6.25e-02     1s
  53   5.41859964e+05  2.49e-02  9.26e+02  1.02e+00  1.56e-02     1s
  54   5.41859712e+05  2.48e-02  1.14e+03  1.02e+00  3.05e-03     1s
  55   5.41857231e+05  2.44e-02  9.61e+02  1.02e+00  1.56e-02     1s
  56   5.41856784e+05  2.43e-02  1.95e+03  1.03e+00  3.91e-03     1s
  57   5.41838229e+05  9.26e+00  1.33e+03  1.02e+00  3.46e-01     1s
  58   5.41877298e+05  6.17e+00  1.37e+03  1.00e+00  1.00e+00     1s
  59   5.41925948e+05  3.08e+00  7.04e+01  9.98e-01  1.00e+00     1s
  60   5.41984742e+05  1.16e+01  2.39e+03  9.88e-01  9.98e-01     1s
  61   5.42010941e+05  3.77e+00  2.06e+03  9.69e-01  1.00e+00     1s
  62   5.41972083e+05  2.08e+00  8.27e+02  9.98e-01  1.00e+00     1s
  63   5.41939570e+05  2.43e-01  1.79e+02  1.00e+00  1.00e+00     1s
  64   5.41914226e+05  6.36e-02  1.26e+01  1.00e+00  1.00e+00     1s
  65   5.41891154e+05  2.35e-02  7.05e+00  1.00e+00  1.00e+00     1s
  66   5.41869924e+05  8.45e-03  3.96e+00  1.00e+00  1.00e+00     1s
  67   5.41850245e+05  3.04e-03  2.26e+00  1.00e+00  1.00e+00     1s
  68   5.41831907e+05  1.08e-03  1.31e+00  1.00e+00  1.00e+00     1s
  69   5.41814742e+05  3.85e-04  7.62e-01  1.00e+00  1.00e+00     1s
  70   5.41798619e+05  1.36e-04  4.50e-01  1.00e+00  1.00e+00     1s
  71   5.41783425e+05  4.77e-05  2.71e-01  1.00e+00  1.00e+00     1s
  72   5.41769070e+05  1.73e-05  1.71e-01  1.00e+00  1.00e+00     1s
  73   5.41755476e+05  1.69e-05  1.14e-01  1.00e+00  1.00e+00     1s
  74   5.41742579e+05  1.65e-05  7.89e-02  1.00e+00  1.00e+00     1s
  75   5.41577031e+05  2.72e-04  2.87e+02  3.48e-01  6.25e-02     1s
  76   5.41032246e+05  4.38e-04  4.41e+02  2.10e-01  6.06e-02     1s
  77   5.40705316e+05  4.28e-04  1.23e+03  2.09e-01  2.42e-02     1s
  78   5.40523032e+05  4.22e-04  1.54e+03  2.08e-01  1.56e-02     2s
  79   5.40346491e+05  4.16e-04  1.55e+03  2.07e-01  1.56e-02     2s
  80   5.40176599e+05  4.10e-04  1.60e+03  2.07e-01  1.56e-02     2s
  81   5.29615120e+05  1.84e-01  6.93e+00  1.50e-01  1.00e+00     2s
  82   5.29057608e+05  4.38e-03  7.28e+00  1.50e-01  1.00e+00     2s
  83   5.29121648e+05  7.06e-04  6.38e+00  1.50e-01  1.00e+00     2s
  84   5.29208314e+05  1.43e-04  2.23e+00  1.50e-01  1.00e+00     2s
  85   5.29286709e+05  1.07e-05  1.18e-01  1.50e-01  1.00e+00     2s
  86   5.29763983e+05  7.45e-04  6.12e+01  1.50e-01  1.00e+00     2s
  87   5.29693213e+05  2.68e-05  1.32e+01  1.50e-01  1.00e+00     2s
  88   5.29532876e+05  6.69e-04  1.55e+01  1.50e-01  8.60e-01     2s
  89   5.29636853e+05  3.10e-05  1.73e+00  1.50e-01  1.00e+00     2s
  90   5.29644645e+05  1.59e-05  1.90e+00  1.50e-01  1.00e+00     2s
  91   5.29812270e+05  9.31e-05  2.22e+01  1.50e-01  1.00e+00     2s
  92   5.29758928e+05  6.97e-05  1.02e+01  1.50e-01  1.00e+00     2s
  93   5.29744563e+05  1.61e-05  5.46e+00  1.50e-01  1.00e+00     2s
