id,group,input_sha256,initial_flow_sha256,physical_pass,cost,outer_status,outer_converged,local_stationarity_checked,cost_optimization_complete,elapsed_sec,iterations,restoration_status,restoration_accepted,v2_physical_pass,v2_cost,v2_outer_status,cost_change,physical_recovery,stationarity_check,final_objective_kind
single-source-schpd,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,true,77.04112103768406,iteration_limit,false,false,true,59.00769470000523,200,not_needed_or_disabled,0,true,77.04112103768406,iteration_limit,0.0,true,true,operating_cost
single-source-case_fixed,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,77.04791335360704,iteration_limit,false,false,true,64.35091219999595,200,not_needed_or_disabled,0,true,77.04791335360704,iteration_limit,0.0,true,true,operating_cost
single-source-box25,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,5fbbba218aae467564086808709eabc99d8659f81babb5cf159059c08b004a0c,true,78.96134002313596,iteration_limit,false,false,true,32.00235120000434,200,not_needed_or_disabled,0,true,78.96134002313596,iteration_limit,0.0,true,true,operating_cost
single-source-box50,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,f11eeb5bc03af3b1702dee53a3283553cf2c0385bb1005a5ccadfa030e051c19,true,77.0472101182588,iteration_limit,false,false,true,70.00517119999859,200,not_needed_or_disabled,0,true,77.0472101182588,iteration_limit,0.0,true,true,operating_cost
single-source-box75,robustness,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,28f835e12879d244f6cd6ba177792943bf6a5c6f8a59c172aa5cadf8f1fba02d,true,77.08714042308773,iteration_limit,false,false,true,53.17554490000475,200,not_needed_or_disabled,0,true,77.08714051054149,iteration_limit,-8.7453756236755e-8,true,true,operating_cost
two-source-schpd,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,177.37624732723242,local_stationarity_checked,false,true,true,34.77211560000433,98,not_needed_or_disabled,0,true,177.37624732723242,local_direction_stalled,0.0,true,true,operating_cost
two-source-case_fixed,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,bb1eec4ae015180a027e8af6e6cf0979150a04aa18c836f2875334ff869f9bf7,true,177.39225398124086,iteration_limit,false,false,true,65.11683320000884,200,not_needed_or_disabled,0,true,177.39225398124086,iteration_limit,0.0,true,true,operating_cost
two-source-box25,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,f6841d1ad487eb4eaadb58e5d347cc04008261d07cdc8c6df105948c7874e4e8,true,177.5223675528409,iteration_limit,false,false,true,54.13710299998638,200,not_needed_or_disabled,0,true,177.5223675528409,iteration_limit,0.0,true,true,operating_cost
two-source-box50,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,caf1b83c30d4087e2e638dc545e2ef52fe39c74920ad777098e55ec0133dd896,true,177.40495786024877,iteration_limit,false,false,true,64.5023362999782,200,not_needed_or_disabled,0,true,177.40495786024877,iteration_limit,0.0,true,true,operating_cost
two-source-box75,robustness,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,f327ba50caa05ea61fa6e71a1bee5c554634ba7a9db4da2c15a601c3ace32950,true,177.6027930885013,iteration_limit,false,false,true,56.8289475000056,200,not_needed_or_disabled,0,true,177.6027930885013,iteration_limit,0.0,true,true,operating_cost
