network,node,x,y,layout_unit
electric,1,1.0,4.21875,schematic
electric,2,2.0,1.0,schematic
electric,3,3.0,1.0,schematic
electric,4,4.0,1.0,schematic
electric,5,5.0,1.0,schematic
electric,6,6.0,1.0,schematic
electric,7,2.0,2.5,schematic
electric,8,3.0,2.5,schematic
electric,9,4.0,2.5,schematic
electric,10,6.0,3.0,schematic
electric,11,7.0,3.0,schematic
electric,12,5.0,2.5,schematic
electric,13,2.0,4.875,schematic
electric,14,3.0,4.0,schematic
electric,15,4.0,4.0,schematic
electric,16,3.0,5.75,schematic
electric,17,4.0,5.0,schematic
electric,18,5.0,5.0,schematic
electric,19,3.0,9.0,schematic
electric,20,1.0,12.4,schematic
electric,21,2.0,12.0,schematic
electric,22,3.0,12.0,schematic
electric,23,2.0,10.0,schematic
electric,24,3.0,10.0,schematic
electric,25,6.0,2.0,schematic
electric,26,2.0,11.0,schematic
electric,27,3.0,11.0,schematic
electric,28,2.0,15.5,schematic
electric,29,3.0,15.5,schematic
electric,30,4.0,15.5,schematic
electric,31,5.0,15.0,schematic
electric,32,5.0,16.0,schematic
electric,33,6.0,16.0,schematic
electric,34,2.0,13.5,schematic
electric,35,3.0,13.5,schematic
electric,36,4.0,14.0,schematic
electric,37,5.0,14.0,schematic
electric,38,4.0,13.0,schematic
electric,39,2.0,8.5,schematic
electric,40,3.0,8.0,schematic
electric,41,4.0,6.5,schematic
electric,42,5.0,6.0,schematic
electric,43,5.0,7.0,schematic
electric,44,0.0,8.309375,schematic
heat,1,0.0,4.104166666666667,schematic
heat,2,1.0,1.0,schematic
heat,3,1.0,3.5,schematic
heat,4,2.0,2.5,schematic
heat,5,4.0,4.5,schematic
heat,6,5.0,5.0,schematic
heat,7,1.0,7.8125,schematic
heat,8,2.0,6.5,schematic
heat,9,3.0,6.5,schematic
heat,10,2.0,9.125,schematic
heat,11,3.0,9.125,schematic
heat,12,4.0,9.125,schematic
heat,13,5.0,9.125,schematic
heat,14,6.0,8.0,schematic
heat,15,6.0,10.25,schematic
heat,16,7.0,11.0,schematic
heat,17,7.0,9.5,schematic
heat,18,8.0,9.5,schematic
heat,19,9.0,9.5,schematic
heat,20,10.0,9.0,schematic
heat,21,10.0,10.0,schematic
heat,22,11.0,10.0,schematic
heat,23,5.0,4.0,schematic
heat,24,3.0,4.5,schematic
heat,25,2.0,4.5,schematic
heat,26,3.0,2.5,schematic
heat,27,4.0,2.0,schematic
heat,28,4.0,3.0,schematic
heat,29,4.0,6.5,schematic
heat,30,5.0,6.0,schematic
heat,31,6.0,6.0,schematic
heat,32,5.0,7.0,schematic
heat,33,6.0,7.0,schematic
heat,34,7.0,7.0,schematic
heat,35,8.0,11.0,schematic
heat,36,9.0,11.0,schematic
heat,37,10.0,11.0,schematic
heat,38,11.0,11.0,schematic
