network,from,to,status
electric,44,1,upstream_feeder
electric,44,20,upstream_feeder
electric,1,2,base
electric,2,3,base
electric,3,4,base
electric,4,5,base
electric,5,6,base
electric,1,7,base
electric,7,8,base
electric,8,9,base
electric,9,12,base
electric,12,25,base
electric,12,10,base
electric,10,11,base
electric,1,13,base
electric,13,14,base
electric,14,15,base
electric,13,16,base
electric,16,17,base
electric,17,18,base
electric,16,41,base
electric,41,42,base
electric,41,43,base
electric,1,39,base
electric,39,40,base
electric,39,19,base
electric,20,23,base
electric,23,24,base
electric,20,26,base
electric,26,27,base
electric,20,21,base
electric,21,22,base
electric,20,34,base
electric,34,35,base
electric,35,38,base
electric,35,36,base
electric,36,37,base
electric,20,28,base
electric,28,29,base
electric,29,30,base
electric,30,31,base
electric,30,32,base
electric,32,33,base
electric,6,38,trading_tie
electric,18,27,trading_tie
electric,25,24,trading_tie
electric,19,33,trading_tie
heat,1,2,base
heat,1,3,base
heat,3,4,base
heat,4,26,base
heat,26,27,base
heat,26,28,base
heat,3,25,base
heat,25,24,base
heat,24,5,base
heat,5,23,base
heat,5,6,base
heat,1,7,base
heat,7,8,base
heat,8,9,base
heat,9,29,base
heat,29,30,base
heat,30,31,base
heat,29,32,base
heat,32,33,base
heat,33,34,base
heat,7,10,base
heat,10,11,base
heat,11,12,base
heat,12,13,base
heat,13,14,base
heat,13,15,base
heat,15,17,base
heat,17,18,base
heat,18,19,base
heat,19,20,base
heat,19,21,base
heat,21,22,base
heat,15,16,base
heat,16,35,base
heat,35,36,base
heat,36,37,base
heat,37,38,base
heat,6,27,trading_tie
heat,32,16,trading_tie
