id,t,pv_fraction,activation_signed
train_000001,1,0.0,0.2451495759075603
train_000001,2,0.0,0.8253508171701336
train_000001,3,0.0,0.9202540857765973
train_000001,4,0.0,0.9739193147205513
train_000001,5,0.0,0.9838537113737587
train_000001,6,0.0,0.8491890377704997
train_000001,7,0.044407373570499786,0.821314992565106
train_000001,8,0.17071346152509326,0.5875321283571191
train_000001,9,0.321658552782631,-0.045160355299647584
train_000001,10,0.5511142778398164,0.28594222170699846
train_000001,11,0.7499861227841194,0.7294415759413702
train_000001,12,0.8741226466347551,0.28255902674573163
train_000001,13,0.9126972438569978,0.4443413787687885
train_000001,14,0.8867212047256735,0.22048404554261636
train_000001,15,0.7321537260622446,-0.5595753196541127
train_000001,16,0.5274922310580907,-0.6538736730900301
train_000001,17,0.3133631263541306,0.3887148167843304
train_000001,18,0.10714397925757037,0.36412524160218834
train_000001,19,0.0,0.8138056984620845
train_000001,20,0.0,0.0968775657053843
train_000001,21,0.0,0.5547470961390917
train_000001,22,0.0,-0.1683505287466269
train_000001,23,0.0,-0.8071901130797087
train_000001,24,0.0,-0.8832969509151561
train_000002,1,0.0,-0.26333377938615693
train_000002,2,0.0,-0.7289425131762626
train_000002,3,0.0,-0.9005497036184419
train_000002,4,0.0,-0.5003313964317607
train_000002,5,0.0,-0.6415791633268311
train_000002,6,0.0,-0.7121551393228509
train_000002,7,0.03671973177382027,-0.10002071362783983
train_000002,8,0.15228850254129356,-0.2510250375867954
train_000002,9,0.2960965487925035,0.01959204397679397
train_000002,10,0.5401902694148627,-0.0865518487027737
train_000002,11,0.6570082112117822,-0.3010339349856865
train_000002,12,0.6784351638727332,0.578359517312157
train_000002,13,0.6589175918279138,0.12632882788589692
train_000002,14,0.667250924999628,0.422383243641826
train_000002,15,0.5549602093055241,0.34703453360776615
train_000002,16,0.3820437299552315,0.5339646731770143
train_000002,17,0.198168619747631,0.6594047674655147
train_000002,18,0.07939480902744155,0.2818562186115531
train_000002,19,0.0,0.5685356819133418
train_000002,20,0.0,-0.3175691679290333
train_000002,21,0.0,-0.5742164050297383
train_000002,22,0.0,-0.4807090992857844
train_000002,23,0.0,-0.5579262232464686
train_000002,24,0.0,0.09588732498401537
train_000003,1,0.0,-0.10088882518257739
train_000003,2,0.0,-0.1164131626592339
train_000003,3,0.0,-0.5318588165871996
train_000003,4,0.0,-0.6261470340822275
train_000003,5,0.0,0.15509425505522198
train_000003,6,0.0,0.3609640896062789
train_000003,7,0.037418781508721674,0.9140936153791045
train_000003,8,0.16243099443250508,0.5201378510106842
train_000003,9,0.3495410183228887,0.5456979652577644
train_000003,10,0.5779343879038613,0.9204677706089852
train_000003,11,0.7381663361162808,0.9726021648406936
train_000003,12,0.8421086184684667,0.9124830091109045
train_000003,13,0.8549603706529758,0.8612561125388831
train_000003,14,0.8275830530231324,0.3724520978639376
train_000003,15,0.7042796482701168,0.5333758372002484
train_000003,16,0.5209595746927261,-0.12819855461470048
train_000003,17,0.30560124028876606,-0.10735799071696267
train_000003,18,0.10354538949020993,-0.32643903179600925
train_000003,19,0.0,0.18466568116515938
train_000003,20,0.0,0.6713077636947669
train_000003,21,0.0,0.5162615287554198
train_000003,22,0.0,0.3334704034687227
train_000003,23,0.0,0.5417822661800593
train_000003,24,0.0,0.0035838628557399634
train_000004,1,0.0,0.3741565025543391
train_000004,2,0.0,0.6026748377226715
train_000004,3,0.0,0.27392346175980414
train_000004,4,0.0,0.506128184202922
train_000004,5,0.0,0.32139391672225576
train_000004,6,0.0,-0.28584489751519604
train_000004,7,0.04461046667631119,-0.8999017359001437
train_000004,8,0.184316422694976,-0.8711488709379142
train_000004,9,0.3625403943215795,-0.627943618971551
train_000004,10,0.5975238981661859,-0.6374584344470289
train_000004,11,0.7789989158651236,-0.9543386073747527
train_000004,12,0.8858403894679873,-0.9729850951435006
train_000004,13,0.9513297466519909,-0.8940835416633796
train_000004,14,0.8969878836260207,-0.43062854955275065
train_000004,15,0.7535284321079142,-0.7931831676240612
train_000004,16,0.5607558242326045,-0.8904840569593301
train_000004,17,0.3111268399013404,-0.6028552312398379
train_000004,18,0.10778419838058136,-0.929722016967291
train_000004,19,0.0,-0.8515061875530109
train_000004,20,0.0,-0.5480871684216517
train_000004,21,0.0,-0.9375439840160108
train_000004,22,0.0,-0.6024428723339841
train_000004,23,0.0,-0.9226802557223365
train_000004,24,0.0,-0.3280495089162369
train_000005,1,0.0,0.38903748978085734
train_000005,2,0.0,-0.2863959131006656
train_000005,3,0.0,-0.5356884144700957
train_000005,4,0.0,-0.7821528651596487
train_000005,5,0.0,0.013578056753941557
train_000005,6,0.0,-0.4386225093507243
train_000005,7,0.02422297379404968,0.151698258970326
train_000005,8,0.10318089067198039,0.3864220357704633
train_000005,9,0.18341256984966825,-0.05244619840149559
train_000005,10,0.35206873612432005,-0.5063670514012402
train_000005,11,0.5294271793987858,-0.6563691837990524
train_000005,12,0.5963715809496625,0.15727552477912218
train_000005,13,0.6170131996683352,-0.15334336669301318
train_000005,14,0.604599751691753,-0.6546006873683292
train_000005,15,0.5249626905012936,-0.1840173181600727
train_000005,16,0.3750873483983458,0.058807101963125864
train_000005,17,0.17339146697942273,-0.5042427976483441
train_000005,18,0.07264094985207216,-0.41973957158955516
train_000005,19,0.0,-0.29965449229836216
train_000005,20,0.0,-0.12155284098203728
train_000005,21,0.0,0.5562140061710699
train_000005,22,0.0,0.42052013121864906
train_000005,23,0.0,0.34168159467186837
train_000005,24,0.0,0.645270603589386
train_000006,1,0.0,0.44790739501556753
train_000006,2,0.0,0.707793542220968
train_000006,3,0.0,0.6210739537839383
train_000006,4,0.0,0.48508440762064076
train_000006,5,0.0,0.3623029374517627
train_000006,6,0.0,0.2411608166121302
train_000006,7,0.0356075449688466,-0.14720963841506574
train_000006,8,0.15391585328191631,-0.3491465044031503
train_000006,9,0.2963562065188629,-0.5367821127499478
train_000006,10,0.5258633839366254,-0.5024773591829814
train_000006,11,0.615624517111831,-0.6543314478275752
train_000006,12,0.7313117253339995,-0.7301754079199176
train_000006,13,0.76447157386698,-0.6470512393322567
train_000006,14,0.7626852164428194,-0.8083009600788449
train_000006,15,0.640804470154415,-0.4647837347941417
train_000006,16,0.4870031112671486,-0.3045050686230526
train_000006,17,0.27351003004664687,0.28240591149931477
train_000006,18,0.09193545795182803,0.3529607431819905
train_000006,19,0.0,0.48686947730650576
train_000006,20,0.0,0.24117412143633868
train_000006,21,0.0,0.36746930031669506
train_000006,22,0.0,0.488003207109737
train_000006,23,0.0,0.7262723347533898
train_000006,24,0.0,0.7289143591746106
train_000007,1,0.0,-0.4424546595656273
train_000007,2,0.0,-0.3732418033740733
train_000007,3,0.0,-0.31577334949859526
train_000007,4,0.0,0.36863581457188727
train_000007,5,0.0,-0.5254603036772949
train_000007,6,0.0,0.320867516024499
train_000007,7,0.024918760902924678,0.23114930233714678
train_000007,8,0.1156375907038561,-0.7328027691053944
train_000007,9,0.24673639980247822,0.6872083936704141
train_000007,10,0.35908065218415025,0.07724021398581785
train_000007,11,0.5240879489794364,0.709363856856202
train_000007,12,0.6023975027586865,0.45219713170630405
train_000007,13,0.596461044585629,0.646376638284739
train_000007,14,0.6137141101373235,0.1136858957131799
train_000007,15,0.46892896835933673,0.1807230231947927
train_000007,16,0.3645241795328692,-0.3868151541841667
train_000007,17,0.22517311351582148,-0.05562792045939299
train_000007,18,0.0667052958746042,0.3750656998463144
train_000007,19,0.0,-0.1570094346556769
train_000007,20,0.0,-0.7079575986636237
train_000007,21,0.0,-0.8341794482379304
train_000007,22,0.0,-0.034155184727372105
train_000007,23,0.0,0.3595125824873985
train_000007,24,0.0,0.5087388922614605
train_000008,1,0.0,0.17014289368537017
train_000008,2,0.0,0.6422273429423924
train_000008,3,0.0,0.09110833466310249
train_000008,4,0.0,0.583731793989585
train_000008,5,0.0,0.06886655291272599
train_000008,6,0.0,0.9028577408126195
train_000008,7,0.03132818923787061,0.6899793999640056
train_000008,8,0.13179507494543788,0.8964697966818579
train_000008,9,0.2580116197312447,0.031681826678994905
train_000008,10,0.390552453114299,-0.13001489758814674
train_000008,11,0.4966336795201351,0.21190364476180037
train_000008,12,0.5631799546491678,0.12708711935176972
train_000008,13,0.5172988501650163,0.6423105019043713
train_000008,14,0.39043837928487635,0.6430334721652979
train_000008,15,0.3286788465261143,0.46158332173757644
train_000008,16,0.23287116879339045,0.06434642797848102
train_000008,17,0.11419904577383735,-0.23944695981615818
train_000008,18,0.04217585420376188,0.009790388330218457
train_000008,19,0.0,-0.43464915774772034
train_000008,20,0.0,-0.6916048496072342
train_000008,21,0.0,-0.4917373790141455
train_000008,22,0.0,-0.7125125991104013
train_000008,23,0.0,0.37706851427199284
train_000008,24,0.0,0.6257064985724368
train_000009,1,0.0,0.2223118035393949
train_000009,2,0.0,0.5592693561192874
train_000009,3,0.0,0.5289601865245714
train_000009,4,0.0,0.12146902588707444
train_000009,5,0.0,0.032517428834102545
train_000009,6,0.0,0.9291423774464875
train_000009,7,0.03717978141852412,0.6657638240957842
train_000009,8,0.1289029429039087,0.5633871148204366
train_000009,9,0.27539458712525056,0.9021537921696356
train_000009,10,0.43727005382469164,0.9760896018450138
train_000009,11,0.4588463536697169,0.9854266813544684
train_000009,12,0.529776523964047,0.9619636593105646
train_000009,13,0.635991789602381,0.8784917372578
train_000009,14,0.6055441601625073,0.9374848442623496
train_000009,15,0.5142409680235522,0.7948173463630526
train_000009,16,0.4467207566567029,0.9008070853785748
train_000009,17,0.2537688166988985,0.3522355895936822
train_000009,18,0.0761368955979174,0.7474288597480958
train_000009,19,0.0,0.7981840622804782
train_000009,20,0.0,0.41270023413457796
train_000009,21,0.0,0.5287558088974418
train_000009,22,0.0,0.6439080358369806
train_000009,23,0.0,0.8471476168873147
train_000009,24,0.0,0.862306480655975
train_000010,1,0.0,-0.9811610191348419
train_000010,2,0.0,-0.8452552531123307
train_000010,3,0.0,-0.7815648288652296
train_000010,4,0.0,-0.8929329839176291
train_000010,5,0.0,-0.8213641993991028
train_000010,6,0.0,0.02644389122578318
train_000010,7,0.03839181144795402,-0.027214388126997193
train_000010,8,0.15601657963664714,0.2039748932010993
train_000010,9,0.2897535288088248,0.13728462546339615
