stage,run_id,time_h,t,critical_MW,chp_cap_MW,gt_cap_MW,pv_cap_MW,generation_upper_MW,unserved_lower_MW
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.75,16,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.0,1,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.25,2,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.5,3,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.75,4,13.750000000000002,6.0,2.0,2.72,10.72,3.0300000000000016
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.0,5,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
