run_id,iteration,mode,cost,diagnostic,step,projected_gradient,accepted,smooth,active_changed,elapsed_sec
r3-pg-20260917T071031-7eafbab9/single-low-flow,1,diagnostic,,0.2501051989147439,,,true,false,false,0.04457969998475164
r3-pg-20260917T071031-7eafbab9/single-low-flow,2,diagnostic,,0.25009683653843534,1.0,0.21085464957583144,true,true,true,0.23473769999691285
r3-pg-20260917T071031-7eafbab9/single-low-flow,3,diagnostic,,0.07441406101846124,1.0,0.21030940914413587,true,true,true,0.3160593000066001
r3-pg-20260917T071031-7eafbab9/single-low-flow,4,diagnostic,,0.009925011495258988,0.25,0.2084444135651775,true,true,true,0.4014564999961294
r3-pg-20260917T071031-7eafbab9/single-low-flow,5,diagnostic,,0.0008032418963646554,0.0625,0.2028377130138438,true,true,true,0.5395590999978594
r3-pg-20260917T071031-7eafbab9/single-low-flow,6,diagnostic,,0.00026075476392147255,0.03125,0.20347441717745796,true,true,true,0.7249467000074219
r3-pg-20260917T071031-7eafbab9/single-low-flow,7,dispatch,81.13210991123299,,0.0625,0.0314576207715056,true,true,true,0.9029380999854766
r3-pg-20260917T071031-7eafbab9/single-low-flow,8,dispatch,80.9441169204004,,0.015625,0.03086108223981454,true,true,false,1.0476219999836758
r3-pg-20260917T071031-7eafbab9/single-low-flow,9,dispatch,80.89737456414007,,0.0078125,0.03071598877663584,true,true,false,1.2351104999834206
r3-pg-20260917T071031-7eafbab9/single-low-flow,10,dispatch,80.87403182146612,,0.00390625,0.030643958150780914,true,true,false,1.4600654999958351
r3-pg-20260917T071031-7eafbab9/single-low-flow,11,dispatch,80.86236665376315,,0.00048828125,0.030605116345031713,true,true,false,1.7550809999811463
r3-pg-20260917T071031-7eafbab9/single-low-flow,12,dispatch,80.86090892881776,,,0.03060087513797305,false,true,false,2.0642968000029214
