variable,value,equation
_[18026],38.25396825396831,-0.9563492063492065 _[9016] + 0.9563492063492065 _[14416] + _[18026] == 0
_[18027],37.297619047619094,-0.9563492063492065 _[9054] + 0.9563492063492065 _[14454] + _[18027] == 0
_[18028],36.341269841269934,-0.9563492063492065 _[9092] + 0.9563492063492065 _[14492] + _[18028] == 0
_[18029],38.25396825396831,-0.9563492063492065 _[9130] + 0.9563492063492065 _[14530] + _[18029] == 0
_[18030],42.07936507936512,-0.9563492063492065 _[9168] + 0.9563492063492065 _[14568] + _[18030] == 0
_[18031],45.904761904761926,-0.9563492063492065 _[9206] + 0.9563492063492065 _[14606] + _[18031] == 0
_[18032],47.8174603174603,-0.9563492063492065 _[9244] + 0.9563492063492065 _[14644] + _[18032] == 0
_[18033],45.90476190476181,-0.9563492063492065 _[9282] + 0.9563492063492065 _[14682] + _[18033] == 0
_[18034],42.079365079365004,-0.9563492063492065 _[9320] + 0.9563492063492065 _[14720] + _[18034] == 0
_[18035],39.210317460317356,-0.9563492063492065 _[9358] + 0.9563492063492065 _[14758] + _[18035] == 0
_[18036],38.253968253968196,-0.9563492063492065 _[9396] + 0.9563492063492065 _[14796] + _[18036] == 0
_[18037],37.297619047619094,-0.9563492063492065 _[9434] + 0.9563492063492065 _[14834] + _[18037] == 0
_[18038],36.34126984126988,-0.9563492063492065 _[9472] + 0.9563492063492065 _[14872] + _[18038] == 0
_[18039],37.297619047619094,-0.9563492063492065 _[9510] + 0.9563492063492065 _[14910] + _[18039] == 0
_[18040],40.166666666666686,-0.9563492063492065 _[9548] + 0.9563492063492065 _[14948] + _[18040] == 0
_[18041],43.992063492063494,-0.9563492063492065 _[9586] + 0.9563492063492065 _[14986] + _[18041] == 0
_[18042],46.86111111111103,-0.9563492063492065 _[9624] + 0.9563492063492065 _[15024] + _[18042] == 0
_[18043],44.9484126984126,-0.9563492063492065 _[9662] + 0.9563492063492065 _[15062] + _[18043] == 0
_[18044],42.079365079365004,-0.9563492063492065 _[9700] + 0.9563492063492065 _[15100] + _[18044] == 0
_[18045],40.16666666666663,-0.9563492063492065 _[9738] + 0.9563492063492065 _[15138] + _[18045] == 0
_[18046],39.21031746031747,-0.9563492063492065 _[9776] + 0.9563492063492065 _[15176] + _[18046] == 0
_[18047],38.25396825396825,-0.9563492063492065 _[9814] + 0.9563492063492065 _[15214] + _[18047] == 0
_[18048],38.25396825396825,-0.9563492063492065 _[9852] + 0.9563492063492065 _[15252] + _[18048] == 0
_[18049],38.253968253968196,-0.9563492063492074 _[8979] + 0.9563492063492074 _[14379] + _[18049] == 0
_[18050],38.25396825396831,-0.9563492063492074 _[9017] + 0.9563492063492074 _[14417] + _[18050] == 0
_[18051],37.297619047619094,-0.9563492063492074 _[9055] + 0.9563492063492074 _[14455] + _[18051] == 0
_[18052],36.34126984126988,-0.9563492063492074 _[9093] + 0.9563492063492074 _[14493] + _[18052] == 0
_[18053],38.25396825396831,-0.9563492063492074 _[9131] + 0.9563492063492074 _[14531] + _[18053] == 0
_[18054],42.07936507936506,-0.9563492063492074 _[9169] + 0.9563492063492074 _[14569] + _[18054] == 0
_[18055],45.90476190476187,-0.9563492063492074 _[9207] + 0.9563492063492074 _[14607] + _[18055] == 0
_[18056],47.817460317460245,-0.9563492063492074 _[9245] + 0.9563492063492074 _[14645] + _[18056] == 0
_[18057],45.904761904761756,-0.9563492063492074 _[9283] + 0.9563492063492074 _[14683] + _[18057] == 0
_[18058],42.07936507936495,-0.9563492063492074 _[9321] + 0.9563492063492074 _[14721] + _[18058] == 0
_[18059],39.210317460317356,-0.9563492063492074 _[9359] + 0.9563492063492074 _[14759] + _[18059] == 0
_[18060],38.253968253968196,-0.9563492063492074 _[9397] + 0.9563492063492074 _[14797] + _[18060] == 0
_[18061],37.29761904761904,-0.9563492063492074 _[9435] + 0.9563492063492074 _[14835] + _[18061] == 0
_[18062],36.34126984126982,-0.9563492063492074 _[9473] + 0.9563492063492074 _[14873] + _[18062] == 0
_[18063],37.29761904761904,-0.9563492063492074 _[9511] + 0.9563492063492074 _[14911] + _[18063] == 0
_[18064],40.16666666666663,-0.9563492063492074 _[9549] + 0.9563492063492074 _[14949] + _[18064] == 0
_[18065],43.992063492063494,-0.9563492063492074 _[9587] + 0.9563492063492074 _[14987] + _[18065] == 0
_[18066],46.86111111111097,-0.9563492063492074 _[9625] + 0.9563492063492074 _[15025] + _[18066] == 0
_[18067],44.9484126984126,-0.9563492063492074 _[9663] + 0.9563492063492074 _[15063] + _[18067] == 0
_[18068],42.07936507936495,-0.9563492063492074 _[9701] + 0.9563492063492074 _[15101] + _[18068] == 0
_[18069],40.16666666666657,-0.9563492063492074 _[9739] + 0.9563492063492074 _[15139] + _[18069] == 0
_[18070],39.21031746031747,-0.9563492063492074 _[9777] + 0.9563492063492074 _[15177] + _[18070] == 0
_[18071],38.25396825396825,-0.9563492063492074 _[9815] + 0.9563492063492074 _[15215] + _[18071] == 0
_[18072],38.25396825396831,-0.9563492063492074 _[9853] + 0.9563492063492074 _[15253] + _[18072] == 0
_[18073],38.25396825396814,-0.9563492063492065 _[8980] + 0.9563492063492065 _[14380] + _[18073] == 0
_[18074],38.25396825396831,-0.9563492063492065 _[9018] + 0.9563492063492065 _[14418] + _[18074] == 0
_[18075],37.297619047619094,-0.9563492063492065 _[9056] + 0.9563492063492065 _[14456] + _[18075] == 0
_[18076],36.34126984126988,-0.9563492063492065 _[9094] + 0.9563492063492065 _[14494] + _[18076] == 0
_[18077],38.25396825396825,-0.9563492063492065 _[9132] + 0.9563492063492065 _[14532] + _[18077] == 0
_[18078],42.07936507936506,-0.9563492063492065 _[9170] + 0.9563492063492065 _[14570] + _[18078] == 0
_[18079],45.90476190476187,-0.9563492063492065 _[9208] + 0.9563492063492065 _[14608] + _[18079] == 0
_[18080],47.817460317460245,-0.9563492063492065 _[9246] + 0.9563492063492065 _[14646] + _[18080] == 0
_[18081],45.904761904761756,-0.9563492063492065 _[9284] + 0.9563492063492065 _[14684] + _[18081] == 0
_[18082],42.07936507936495,-0.9563492063492065 _[9322] + 0.9563492063492065 _[14722] + _[18082] == 0
_[18083],39.210317460317356,-0.9563492063492065 _[9360] + 0.9563492063492065 _[14760] + _[18083] == 0
_[18084],38.253968253968196,-0.9563492063492065 _[9398] + 0.9563492063492065 _[14798] + _[18084] == 0
_[18085],37.29761904761904,-0.9563492063492065 _[9436] + 0.9563492063492065 _[14836] + _[18085] == 0
_[18086],36.34126984126982,-0.9563492063492065 _[9474] + 0.9563492063492065 _[14874] + _[18086] == 0
_[18087],37.29761904761904,-0.9563492063492065 _[9512] + 0.9563492063492065 _[14912] + _[18087] == 0
_[18088],40.16666666666663,-0.9563492063492065 _[9550] + 0.9563492063492065 _[14950] + _[18088] == 0
_[18089],43.99206349206344,-0.9563492063492065 _[9588] + 0.9563492063492065 _[14988] + _[18089] == 0
_[18090],46.86111111111097,-0.9563492063492065 _[9626] + 0.9563492063492065 _[15026] + _[18090] == 0
_[18091],44.9484126984126,-0.9563492063492065 _[9664] + 0.9563492063492065 _[15064] + _[18091] == 0
_[18092],42.07936507936495,-0.9563492063492065 _[9702] + 0.9563492063492065 _[15102] + _[18092] == 0
_[18093],40.16666666666657,-0.9563492063492065 _[9740] + 0.9563492063492065 _[15140] + _[18093] == 0
_[18094],39.21031746031741,-0.9563492063492065 _[9778] + 0.9563492063492065 _[15178] + _[18094] == 0
_[18095],38.25396825396825,-0.9563492063492065 _[9816] + 0.9563492063492065 _[15216] + _[18095] == 0
_[18096],38.25396825396825,-0.9563492063492065 _[9854] + 0.9563492063492065 _[15254] + _[18096] == 0
_[18097],38.25396825396825,-0.9563492063492065 _[8981] + 0.9563492063492065 _[14381] + _[18097] == 0
_[18098],38.25396825396825,-0.9563492063492065 _[9019] + 0.9563492063492065 _[14419] + _[18098] == 0
_[18099],37.29761904761904,-0.9563492063492065 _[9057] + 0.9563492063492065 _[14457] + _[18099] == 0
_[18100],36.34126984126982,-0.9563492063492065 _[9095] + 0.9563492063492065 _[14495] + _[18100] == 0
_[18101],38.25396825396825,-0.9563492063492065 _[9133] + 0.9563492063492065 _[14533] + _[18101] == 0
_[18102],42.07936507936506,-0.9563492063492065 _[9171] + 0.9563492063492065 _[14571] + _[18102] == 0
_[18103],45.90476190476187,-0.9563492063492065 _[9209] + 0.9563492063492065 _[14609] + _[18103] == 0
_[18104],47.81746031746019,-0.9563492063492065 _[9247] + 0.9563492063492065 _[14647] + _[18104] == 0
_[18105],45.90476190476181,-0.9563492063492065 _[9285] + 0.9563492063492065 _[14685] + _[18105] == 0
_[18106],42.07936507936495,-0.9563492063492065 _[9323] + 0.9563492063492065 _[14723] + _[18106] == 0
_[18107],39.210317460317356,-0.9563492063492065 _[9361] + 0.9563492063492065 _[14761] + _[18107] == 0
_[18108],38.253968253968196,-0.9563492063492065 _[9399] + 0.9563492063492065 _[14799] + _[18108] == 0
_[18109],37.29761904761904,-0.9563492063492065 _[9437] + 0.9563492063492065 _[14837] + _[18109] == 0
_[18110],36.34126984126982,-0.9563492063492065 _[9475] + 0.9563492063492065 _[14875] + _[18110] == 0
_[18111],37.29761904761904,-0.9563492063492065 _[9513] + 0.9563492063492065 _[14913] + _[18111] == 0
_[18112],40.16666666666663,-0.9563492063492065 _[9551] + 0.9563492063492065 _[14951] + _[18112] == 0
_[18113],43.99206349206344,-0.9563492063492065 _[9589] + 0.9563492063492065 _[14989] + _[18113] == 0
_[18114],46.86111111111103,-0.9563492063492065 _[9627] + 0.9563492063492065 _[15027] + _[18114] == 0
_[18115],44.9484126984126,-0.9563492063492065 _[9665] + 0.9563492063492065 _[15065] + _[18115] == 0
_[18116],42.07936507936495,-0.9563492063492065 _[9703] + 0.9563492063492065 _[15103] + _[18116] == 0
_[18117],40.16666666666663,-0.9563492063492065 _[9741] + 0.9563492063492065 _[15141] + _[18117] == 0
_[18118],39.21031746031747,-0.9563492063492065 _[9779] + 0.9563492063492065 _[15179] + _[18118] == 0
_[18119],38.25396825396831,-0.9563492063492065 _[9817] + 0.9563492063492065 _[15217] + _[18119] == 0
_[18120],38.253968253968196,-0.9563492063492065 _[9855] + 0.9563492063492065 _[15255] + _[18120] == 0
_[18121],38.25396825396825,-0.9563492063492065 _[8982] + 0.9563492063492065 _[14382] + _[18121] == 0
_[18122],38.25396825396831,-0.9563492063492065 _[9020] + 0.9563492063492065 _[14420] + _[18122] == 0
_[18123],37.297619047619094,-0.9563492063492065 _[9058] + 0.9563492063492065 _[14458] + _[18123] == 0
_[18124],36.34126984126982,-0.9563492063492065 _[9096] + 0.9563492063492065 _[14496] + _[18124] == 0
_[18125],38.25396825396825,-0.9563492063492065 _[9134] + 0.9563492063492065 _[14534] + _[18125] == 0
_[18126],42.07936507936506,-0.9563492063492065 _[9172] + 0.9563492063492065 _[14572] + _[18126] == 0
_[18127],45.90476190476187,-0.9563492063492065 _[9210] + 0.9563492063492065 _[14610] + _[18127] == 0
_[18128],47.817460317460245,-0.9563492063492065 _[9248] + 0.9563492063492065 _[14648] + _[18128] == 0
_[18129],45.904761904761756,-0.9563492063492065 _[9286] + 0.9563492063492065 _[14686] + _[18129] == 0
_[18130],42.07936507936495,-0.9563492063492065 _[9324] + 0.9563492063492065 _[14724] + _[18130] == 0
_[18131],39.21031746031741,-0.9563492063492065 _[9362] + 0.9563492063492065 _[14762] + _[18131] == 0
_[18132],38.25396825396825,-0.9563492063492065 _[9400] + 0.9563492063492065 _[14800] + _[18132] == 0
_[18133],37.29761904761904,-0.9563492063492065 _[9438] + 0.9563492063492065 _[14838] + _[18133] == 0
_[18134],36.34126984126982,-0.9563492063492065 _[9476] + 0.9563492063492065 _[14876] + _[18134] == 0
_[18135],37.29761904761904,-0.9563492063492065 _[9514] + 0.9563492063492065 _[14914] + _[18135] == 0
_[18136],40.16666666666663,-0.9563492063492065 _[9552] + 0.9563492063492065 _[14952] + _[18136] == 0
_[18137],43.99206349206344,-0.9563492063492065 _[9590] + 0.9563492063492065 _[14990] + _[18137] == 0
_[18138],46.86111111111097,-0.9563492063492065 _[9628] + 0.9563492063492065 _[15028] + _[18138] == 0
_[18139],44.9484126984126,-0.9563492063492065 _[9666] + 0.9563492063492065 _[15066] + _[18139] == 0
_[18140],42.079365079365004,-0.9563492063492065 _[9704] + 0.9563492063492065 _[15104] + _[18140] == 0
_[18141],40.16666666666663,-0.9563492063492065 _[9742] + 0.9563492063492065 _[15142] + _[18141] == 0
_[18142],39.21031746031747,-0.9563492063492065 _[9780] + 0.9563492063492065 _[15180] + _[18142] == 0
_[18143],38.25396825396837,-0.9563492063492065 _[9818] + 0.9563492063492065 _[15218] + _[18143] == 0
_[18144],38.25396825396831,-0.9563492063492065 _[9856] + 0.9563492063492065 _[15256] + _[18144] == 0
_[18145],38.25396825396814,-0.9563492063492056 _[8983] + 0.9563492063492056 _[14383] + _[18145] == 0
_[18146],38.25396825396825,-0.9563492063492056 _[9021] + 0.9563492063492056 _[14421] + _[18146] == 0
_[18147],37.29761904761904,-0.9563492063492056 _[9059] + 0.9563492063492056 _[14459] + _[18147] == 0
_[18148],36.34126984126982,-0.9563492063492056 _[9097] + 0.9563492063492056 _[14497] + _[18148] == 0
_[18149],38.25396825396825,-0.9563492063492056 _[9135] + 0.9563492063492056 _[14535] + _[18149] == 0
_[18150],42.079365079365004,-0.9563492063492056 _[9173] + 0.9563492063492056 _[14573] + _[18150] == 0
_[18151],45.90476190476187,-0.9563492063492056 _[9211] + 0.9563492063492056 _[14611] + _[18151] == 0
_[18152],47.817460317460245,-0.9563492063492056 _[9249] + 0.9563492063492056 _[14649] + _[18152] == 0
_[18153],45.9047619047617,-0.9563492063492056 _[9287] + 0.9563492063492056 _[14687] + _[18153] == 0
_[18154],42.07936507936495,-0.9563492063492056 _[9325] + 0.9563492063492056 _[14725] + _[18154] == 0
_[18155],39.210317460317356,-0.9563492063492056 _[9363] + 0.9563492063492056 _[14763] + _[18155] == 0
_[18156],38.253968253968196,-0.9563492063492056 _[9401] + 0.9563492063492056 _[14801] + _[18156] == 0
_[18157],37.29761904761904,-0.9563492063492056 _[9439] + 0.9563492063492056 _[14839] + _[18157] == 0
_[18158],36.341269841269764,-0.9563492063492056 _[9477] + 0.9563492063492056 _[14877] + _[18158] == 0
_[18159],37.29761904761904,-0.9563492063492056 _[9515] + 0.9563492063492056 _[14915] + _[18159] == 0
_[18160],40.16666666666663,-0.9563492063492056 _[9553] + 0.9563492063492056 _[14953] + _[18160] == 0
_[18161],43.99206349206344,-0.9563492063492056 _[9591] + 0.9563492063492056 _[14991] + _[18161] == 0
_[18162],46.86111111111097,-0.9563492063492056 _[9629] + 0.9563492063492056 _[15029] + _[18162] == 0
_[18163],44.9484126984126,-0.9563492063492056 _[9667] + 0.9563492063492056 _[15067] + _[18163] == 0
_[18164],42.07936507936495,-0.9563492063492056 _[9705] + 0.9563492063492056 _[15105] + _[18164] == 0
_[18165],40.16666666666657,-0.9563492063492056 _[9743] + 0.9563492063492056 _[15143] + _[18165] == 0
_[18166],39.21031746031747,-0.9563492063492056 _[9781] + 0.9563492063492056 _[15181] + _[18166] == 0
_[18167],38.25396825396825,-0.9563492063492056 _[9819] + 0.9563492063492056 _[15219] + _[18167] == 0
_[18168],38.253968253968424,-0.9563492063492056 _[9857] + 0.9563492063492056 _[15257] + _[18168] == 0
_[18169],38.253968253968196,-0.9563492063492065 _[8984] + 0.9563492063492065 _[14384] + _[18169] == 0
_[18170],38.25396825396825,-0.9563492063492065 _[9022] + 0.9563492063492065 _[14422] + _[18170] == 0
_[18171],37.29761904761904,-0.9563492063492065 _[9060] + 0.9563492063492065 _[14460] + _[18171] == 0
_[18172],36.34126984126982,-0.9563492063492065 _[9098] + 0.9563492063492065 _[14498] + _[18172] == 0
_[18173],38.25396825396825,-0.9563492063492065 _[9136] + 0.9563492063492065 _[14536] + _[18173] == 0
_[18174],42.079365079365004,-0.9563492063492065 _[9174] + 0.9563492063492065 _[14574] + _[18174] == 0
_[18175],45.90476190476181,-0.9563492063492065 _[9212] + 0.9563492063492065 _[14612] + _[18175] == 0
_[18176],47.81746031746019,-0.9563492063492065 _[9250] + 0.9563492063492065 _[14650] + _[18176] == 0
_[18177],45.9047619047617,-0.9563492063492065 _[9288] + 0.9563492063492065 _[14688] + _[18177] == 0
_[18178],42.07936507936489,-0.9563492063492065 _[9326] + 0.9563492063492065 _[14726] + _[18178] == 0
_[18179],39.2103174603173,-0.9563492063492065 _[9364] + 0.9563492063492065 _[14764] + _[18179] == 0
_[18180],38.25396825396814,-0.9563492063492065 _[9402] + 0.9563492063492065 _[14802] + _[18180] == 0
_[18181],37.29761904761898,-0.9563492063492065 _[9440] + 0.9563492063492065 _[14840] + _[18181] == 0
_[18182],36.341269841269764,-0.9563492063492065 _[9478] + 0.9563492063492065 _[14878] + _[18182] == 0
_[18183],37.29761904761898,-0.9563492063492065 _[9516] + 0.9563492063492065 _[14916] + _[18183] == 0
_[18184],40.16666666666657,-0.9563492063492065 _[9554] + 0.9563492063492065 _[14954] + _[18184] == 0
_[18185],43.99206349206344,-0.9563492063492065 _[9592] + 0.9563492063492065 _[14992] + _[18185] == 0
_[18186],46.861111111110915,-0.9563492063492065 _[9630] + 0.9563492063492065 _[15030] + _[18186] == 0
_[18187],44.94841269841254,-0.9563492063492065 _[9668] + 0.9563492063492065 _[15068] + _[18187] == 0
_[18188],42.07936507936489,-0.9563492063492065 _[9706] + 0.9563492063492065 _[15106] + _[18188] == 0
_[18189],40.166666666666515,-0.9563492063492065 _[9744] + 0.9563492063492065 _[15144] + _[18189] == 0
_[18190],39.21031746031741,-0.9563492063492065 _[9782] + 0.9563492063492065 _[15182] + _[18190] == 0
_[18191],38.25396825396831,-0.9563492063492065 _[9820] + 0.9563492063492065 _[15220] + _[18191] == 0
_[18192],38.25396825396825,-0.9563492063492065 _[9858] + 0.9563492063492065 _[15258] + _[18192] == 0
_[18193],38.25396825396825,-0.9563492063492065 _[8985] + 0.9563492063492065 _[14385] + _[18193] == 0
_[18194],38.25396825396825,-0.9563492063492065 _[9023] + 0.9563492063492065 _[14423] + _[18194] == 0
_[18195],37.297619047619094,-0.9563492063492065 _[9061] + 0.9563492063492065 _[14461] + _[18195] == 0
_[18196],36.34126984126988,-0.9563492063492065 _[9099] + 0.9563492063492065 _[14499] + _[18196] == 0
_[18197],38.25396825396825,-0.9563492063492065 _[9137] + 0.9563492063492065 _[14537] + _[18197] == 0
_[18198],42.07936507936506,-0.9563492063492065 _[9175] + 0.9563492063492065 _[14575] + _[18198] == 0
_[18199],45.90476190476187,-0.9563492063492065 _[9213] + 0.9563492063492065 _[14613] + _[18199] == 0
_[18200],47.817460317460245,-0.9563492063492065 _[9251] + 0.9563492063492065 _[14651] + _[18200] == 0
_[18201],45.904761904761756,-0.9563492063492065 _[9289] + 0.9563492063492065 _[14689] + _[18201] == 0
_[18202],42.079365079365004,-0.9563492063492065 _[9327] + 0.9563492063492065 _[14727] + _[18202] == 0
_[18203],39.210317460317356,-0.9563492063492065 _[9365] + 0.9563492063492065 _[14765] + _[18203] == 0
_[18204],38.25396825396825,-0.9563492063492065 _[9403] + 0.9563492063492065 _[14803] + _[18204] == 0
_[18205],37.29761904761904,-0.9563492063492065 _[9441] + 0.9563492063492065 _[14841] + _[18205] == 0
_[18206],36.34126984126982,-0.9563492063492065 _[9479] + 0.9563492063492065 _[14879] + _[18206] == 0
_[18207],37.29761904761904,-0.9563492063492065 _[9517] + 0.9563492063492065 _[14917] + _[18207] == 0
_[18208],40.16666666666663,-0.9563492063492065 _[9555] + 0.9563492063492065 _[14955] + _[18208] == 0
_[18209],43.99206349206344,-0.9563492063492065 _[9593] + 0.9563492063492065 _[14993] + _[18209] == 0
_[18210],46.86111111111103,-0.9563492063492065 _[9631] + 0.9563492063492065 _[15031] + _[18210] == 0
_[18211],44.94841269841254,-0.9563492063492065 _[9669] + 0.9563492063492065 _[15069] + _[18211] == 0
_[18212],42.079365079365004,-0.9563492063492065 _[9707] + 0.9563492063492065 _[15107] + _[18212] == 0
_[18213],40.16666666666663,-0.9563492063492065 _[9745] + 0.9563492063492065 _[15145] + _[18213] == 0
_[18214],39.21031746031747,-0.9563492063492065 _[9783] + 0.9563492063492065 _[15183] + _[18214] == 0
_[18215],38.25396825396825,-0.9563492063492065 _[9821] + 0.9563492063492065 _[15221] + _[18215] == 0
_[18216],38.25396825396808,-0.9563492063492065 _[9859] + 0.9563492063492065 _[15259] + _[18216] == 0
_[18217],38.253968253968196,-0.9563492063492056 _[8986] + 0.9563492063492056 _[14386] + _[18217] == 0
_[18218],38.25396825396825,-0.9563492063492056 _[9024] + 0.9563492063492056 _[14424] + _[18218] == 0
_[18219],37.29761904761904,-0.9563492063492056 _[9062] + 0.9563492063492056 _[14462] + _[18219] == 0
_[18220],36.34126984126982,-0.9563492063492056 _[9100] + 0.9563492063492056 _[14500] + _[18220] == 0
_[18221],38.25396825396825,-0.9563492063492056 _[9138] + 0.9563492063492056 _[14538] + _[18221] == 0
_[18222],42.07936507936506,-0.9563492063492056 _[9176] + 0.9563492063492056 _[14576] + _[18222] == 0
_[18223],45.90476190476187,-0.9563492063492056 _[9214] + 0.9563492063492056 _[14614] + _[18223] == 0
_[18224],47.817460317460245,-0.9563492063492056 _[9252] + 0.9563492063492056 _[14652] + _[18224] == 0
_[18225],45.904761904761756,-0.9563492063492056 _[9290] + 0.9563492063492056 _[14690] + _[18225] == 0
_[18226],42.07936507936495,-0.9563492063492056 _[9328] + 0.9563492063492056 _[14728] + _[18226] == 0
_[18227],39.210317460317356,-0.9563492063492056 _[9366] + 0.9563492063492056 _[14766] + _[18227] == 0
_[18228],38.253968253968196,-0.9563492063492056 _[9404] + 0.9563492063492056 _[14804] + _[18228] == 0
_[18229],37.29761904761898,-0.9563492063492056 _[9442] + 0.9563492063492056 _[14842] + _[18229] == 0
_[18230],36.341269841269764,-0.9563492063492056 _[9480] + 0.9563492063492056 _[14880] + _[18230] == 0
_[18231],37.29761904761904,-0.9563492063492056 _[9518] + 0.9563492063492056 _[14918] + _[18231] == 0
_[18232],40.16666666666663,-0.9563492063492056 _[9556] + 0.9563492063492056 _[14956] + _[18232] == 0
_[18233],43.99206349206344,-0.9563492063492056 _[9594] + 0.9563492063492056 _[14994] + _[18233] == 0
_[18234],46.86111111111097,-0.9563492063492056 _[9632] + 0.9563492063492056 _[15032] + _[18234] == 0
_[18235],44.94841269841254,-0.9563492063492056 _[9670] + 0.9563492063492056 _[15070] + _[18235] == 0
_[18236],42.07936507936495,-0.9563492063492056 _[9708] + 0.9563492063492056 _[15108] + _[18236] == 0
_[18237],40.16666666666657,-0.9563492063492056 _[9746] + 0.9563492063492056 _[15146] + _[18237] == 0
_[18238],39.21031746031741,-0.9563492063492056 _[9784] + 0.9563492063492056 _[15184] + _[18238] == 0
_[18239],38.25396825396831,-0.9563492063492056 _[9822] + 0.9563492063492056 _[15222] + _[18239] == 0
_[18240],38.25396825396825,-0.9563492063492056 _[9860] + 0.9563492063492056 _[15260] + _[18240] == 0
_[18241],38.253968253968196,-0.9563492063492056 _[8987] + 0.9563492063492056 _[14387] + _[18241] == 0
_[18242],38.25396825396825,-0.9563492063492056 _[9025] + 0.9563492063492056 _[14425] + _[18242] == 0
_[18243],37.29761904761904,-0.9563492063492056 _[9063] + 0.9563492063492056 _[14463] + _[18243] == 0
_[18244],36.34126984126982,-0.9563492063492056 _[9101] + 0.9563492063492056 _[14501] + _[18244] == 0
_[18245],38.25396825396825,-0.9563492063492056 _[9139] + 0.9563492063492056 _[14539] + _[18245] == 0
_[18246],42.079365079365004,-0.9563492063492056 _[9177] + 0.9563492063492056 _[14577] + _[18246] == 0
_[18247],45.90476190476181,-0.9563492063492056 _[9215] + 0.9563492063492056 _[14615] + _[18247] == 0
_[18248],47.81746031746019,-0.9563492063492056 _[9253] + 0.9563492063492056 _[14653] + _[18248] == 0
_[18249],45.904761904761756,-0.9563492063492056 _[9291] + 0.9563492063492056 _[14691] + _[18249] == 0
_[18250],42.07936507936489,-0.9563492063492056 _[9329] + 0.9563492063492056 _[14729] + _[18250] == 0
_[18251],39.2103174603173,-0.9563492063492056 _[9367] + 0.9563492063492056 _[14767] + _[18251] == 0
_[18252],38.25396825396814,-0.9563492063492056 _[9405] + 0.9563492063492056 _[14805] + _[18252] == 0
_[18253],37.29761904761898,-0.9563492063492056 _[9443] + 0.9563492063492056 _[14843] + _[18253] == 0
_[18254],36.341269841269764,-0.9563492063492056 _[9481] + 0.9563492063492056 _[14881] + _[18254] == 0
_[18255],37.29761904761898,-0.9563492063492056 _[9519] + 0.9563492063492056 _[14919] + _[18255] == 0
_[18256],40.16666666666663,-0.9563492063492056 _[9557] + 0.9563492063492056 _[14957] + _[18256] == 0
_[18257],43.99206349206344,-0.9563492063492056 _[9595] + 0.9563492063492056 _[14995] + _[18257] == 0
_[18258],46.861111111110915,-0.9563492063492056 _[9633] + 0.9563492063492056 _[15033] + _[18258] == 0
_[18259],44.94841269841254,-0.9563492063492056 _[9671] + 0.9563492063492056 _[15071] + _[18259] == 0
